hours,sleep_hours,score,passed
5.1,7.4,68,1
4.6,4.9,57,0
2.2,5.6,43,0
5.7,7.1,58,0
0.5,5.9,39,0
2.9,8.5,52,0
6.6,8.6,71,1
3.9,5.1,56,0
9.2,6.0,87,1
6.2,5.3,73,1
9.2,7.4,81,1
3.1,8.7,41,0
6.5,8.6,72,1
8.2,5.9,77,1
8.4,4.9,76,1
0.1,7.5,32,0
0.4,7.8,47,0
0.7,4.6,43,0
1.6,8.0,54,0
1.7,7.7,50,0
9.6,7.6,85,1
2.9,8.3,48,0
2.6,7.8,40,0
2.0,4.4,50,0
8.5,5.0,74,1
4.8,4.6,56,0
0.4,5.9,45,0
0.7,6.2,43,0
3.7,7.7,45,0
6.6,6.5,74,1
9.7,7.8,88,1
0.1,4.8,30,0
8.6,5.3,81,1
9.0,4.3,84,1
3.8,8.7,54,0
6.3,5.7,66,1
7.2,4.1,55,0
6.0,5.4,69,1
1.6,6.7,42,0
0.7,6.6,42,0
0.2,7.6,37,0
0.4,8.5,35,0
6.8,4.0,68,1
3.9,6.8,56,0
8.6,7.8,91,1
0.2,8.1,41,0
4.8,6.9,53,0
3.9,8.6,66,1
2.4,6.5,47,0
6.4,6.4,88,1
9.0,6.3,85,1
2.9,7.7,49,0
9.6,5.9,84,1
7.4,6.2,77,1
3.0,4.2,34,0
8.5,8.9,92,1
1.3,7.1,45,0
8.8,6.3,87,1
4.5,8.8,57,0
6.7,4.7,68,1
5.3,5.2,58,0
9.5,7.6,78,1
7.8,5.8,61,1
7.9,5.9,78,1
3.1,6.0,42,0
4.5,8.5,64,1
9.6,8.4,85,1
3.4,8.4,59,0
6.6,8.7,58,0
0.2,5.0,40,0
5.7,4.9,72,1
7.7,7.2,75,1
5.8,8.0,72,1
2.5,7.7,55,0
7.6,6.4,65,1
5.3,7.1,56,0
0.4,4.5,34,0
9.2,8.3,87,1
3.3,4.4,54,0
7.4,8.8,75,1
3.1,4.3,42,0
9.0,6.2,77,1
3.4,4.9,45,0
1.6,8.4,59,0
1.6,4.6,46,0
5.6,7.1,61,1
7.0,5.4,72,1
1.1,8.7,41,0
9.1,4.5,92,1
4.7,6.4,63,1
7.7,6.9,82,1
4.4,6.9,58,0
4.5,4.1,43,0
3.4,5.7,52,0
0.9,5.8,43,0
6.8,8.6,83,1
1.1,8.7,50,0
6.3,5.5,65,1
7.9,7.9,67,1
4.9,7.1,78,1
5.9,9.0,67,1
5.1,8.9,70,1
9.0,4.1,75,1
6.5,7.5,75,1
2.6,9.0,51,0
10.0,7.3,93,1
6.6,5.7,82,1
9.3,4.1,81,1
5.7,5.5,65,1
3.9,7.5,65,1
2.7,5.9,42,0
9.9,6.1,92,1
7.1,4.7,65,1
1.9,5.4,47,0
0.8,6.2,33,0
9.1,8.3,75,1
9.0,4.1,85,1
2.4,4.9,53,0
0.6,6.9,39,0
0.8,7.6,44,0
